"MNO","CNO","TITLE","SINGER","ALBUM","POSTER","IDCREMENT","STATE","KEY","HIT"
136,3,"Sugar","Maroon 5","V (Deluxe Edition)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/459/535/80459535_1409492188214_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
137,3,"Architect","Livingston","A Hometown Odyssey","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/411/84958411_1720743430591_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
138,3,"Tiny Riot","Sam Ryder","The Sun's Gonna Rise","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/971/699/81971699_1632705335393_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
139,3,"Paris in the Rain","Lauv","I met you when I was 18. (the playlist)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/110/605/81110605_1729531018268_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
140,3,"Leave The Door Open","Bruno Mars & Anderson .Paak & Silk Sonic","An Evening With Silk Sonic","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/933/439/81933439_1646184034193_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
141,3,"Touch","KATSEYE","SIS (Soft Is Strong)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/461/350/85461350_1723780176171_1_140x140.JPG/dims/resize/Q_80,0",3,"하강","",0
142,3,"On My Way","Alan Walker & Sabrina Carpenter & Farruko","On My Way","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/174/795/81174795_1568725602850_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
143,3,"That's Not How This Works (Feat. Dan ＋ Shay)","Charlie Puth","That's Not How This Works","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/087/83674087_1680016534948_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
144,3,"Dance Monkey","Tones And I","The Kids Are Coming","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/255/286/81255286_1652381130791_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
145,3,"I Ain't Worried","OneRepublic","I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/688/221/82688221_1652348740389_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
146,3,"Viva La Vida","Coldplay","Viva La Vida Or Death And All His Friends","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/060/293/453/60293453_1438154839807_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
147,3,"See You Again (Feat. Charlie Puth)","Wiz Khalifa","Furious 7 : Original Motion Picture Soundtrack","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/538/909/80538909_1617265230205_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
148,3,"Underneath the Tree","Kelly Clarkson","Wrapped In Red (Deluxe Ver.)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/380/943/80380943_1604631025939_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
149,3,"Ghost Town","Benson Boone","Ghost Town","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/341/606/82341606_1634531780585_1_140x140.JPG/dims/resize/Q_80,0",4,"하강","",0
150,4,"소나기","이클립스 (ECLIPSE)","선재 업고 튀어 OST Part 1","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/416/267/84416267_1712539030215_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
151,4,"너의 모든 순간","성시경","별에서 온 그대 OST Part.7 (SBS 수목드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
152,4,"미안해 미워해 사랑해","Crush","눈물의 여왕 OST Part.4","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/914/936/84914936_1711089894911_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
153,4,"사랑인가 봐","멜로망스 (MeloMance)","사랑인가 봐 (사내맞선 OST 스페셜 트랙)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
154,4,"모든 날, 모든 순간 (Every day, Every Moment)","폴킴","'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/044/453/81044453_1521524523818_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
155,4,"희재","성시경","국화꽃 향기 OST","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/331/15027331_1464600209946_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
156,4,"어른","Sondia","나의 아저씨 OST Part. 2 (tvN 수목드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/048/807/81048807_1522310270525_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
1,1,"HOME SWEET HOME (Feat. 태양 & 대성)","G-DRAGON","HOME SWEET HOME","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/795/386/85795386_1732170719581_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
2,1,"APT.","로제 (ROSÉ) & Bruno Mars","APT.","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/693/971/85693971_1729212690074_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
3,1,"Whiplash","aespa","Whiplash - The 5th Mini Album","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/834/85694834_1729236989658_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
4,1,"나는 반딧불","황가람","나는 반딧불","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/890/85694890_1729238188939_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
